Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment,
1,162.55000,162.55000, ,Simplex,FM,WX1PA7,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
2,162.40000,162.40000, ,Simplex,FM,WX2PA1,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
3,162.47500,162.47500, ,Simplex,FM,WX3PA4,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
4,162.42500,162.42500, ,Simplex,FM,WX4PA2,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
5,162.45000,162.45000, ,Simplex,FM,WX5PA3,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
6,162.50000,162.50000, ,Simplex,FM,WX6PA5,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
7,162.52500,162.52500, ,Simplex,FM,WX7PA6,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
8,161.65000,161.65000, ,Simplex,FM,WX8,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
9,161.77500,161.77500, ,Simplex,FM,WX9,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
10,163.27500,163.27500, ,Simplex,FM,WX10,Large,None,88.5 Hz,023,300 Hz,Low,Skip,Auto,Off,NOAA Weather,
12,144.39000,144.39000, ,Simplex,FM,APRSraw,Large,None,100.0 Hz,023,300 Hz,High,Skip,5 kHz,Off,APRS - Troubleshooting the Channel,
13,144.39000,144.39000, ,Simplex,FM,APRSops,Large,Tone,100.0 Hz,023,300 Hz,High,Skip,5 kHz,Off,APRS - Normal Ops with Voice Alert,
14,144.39000,144.39000, ,Simplex,FM,APRSmute,Large,DCS,100.0 Hz,754         ,300 Hz,High,Skip,5 kHz,Off,APRS - Silent and SELCALL XXX,
15,144.39000,144.99000,600 kHz,Plus,FM,APRSinpt,Large,None,100.0 Hz,023,300 Hz,High,Skip,5 kHz,Off,APRS - Event Ops into 144.99 digi,
16,144.39000,143.79000,600 kHz,Minus,FM,APRSdigi,Large,None,100.0 Hz,023,300 Hz,High,Skip,5 kHz,Off,APRS - Temporary Event WIDE1-1 digi,
18,145.51000,145.51000, ,Simplex,FM,D-145510,Large,None,100.0 Hz,023,300 Hz,High,Select,5 kHz,Off,Digital Simplex (C4FM),
19,145.56250,145.56250, ,Simplex,FM,D-C4CALL,Large,None,100.0 Hz,023,300 Hz,High,Select,5 kHz,Off,Digital Simplex C4FM Calling Freq. (Yaesu Suggested),
