Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
1,162.55,162.55, ,Simplex,FM,WX1PA7,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
2,162.4,162.4, ,Simplex,FM,WX2PA1,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
3,162.475,162.475, ,Simplex,FM,WX3PA4,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
4,162.425,162.425, ,Simplex,FM,WX4PA2,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
5,162.45,162.45, ,Simplex,FM,WX5PA3,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
6,162.5,162.5, ,Simplex,FM,WX6PA5,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
7,162.525,162.525, ,Simplex,FM,WX7PA6,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
8,161.65,161.65, ,Simplex,FM,WX8,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
9,161.775,161.775, ,Simplex,FM,WX9,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
10,163.275,163.275, ,Simplex,FM,WX10,Large,None,88.5 Hz,23,300 Hz,Low,Skip,5 kHz,Off,NOAA Weather
12,144.39,144.39, ,Simplex,FM,APRSraw,Large,None,100.0 Hz,23,300 Hz,High,Skip,5 kHz,Off,APRS - Troubleshooting the Channel
13,144.39,144.39, ,Simplex,FM,APRSops,Large,Tone,100.0 Hz,23,300 Hz,High,Skip,5 kHz,Off,APRS - Normal Ops with Voice Alert
14,144.39,144.39, ,Simplex,FM,APRSmute,Large,DCS,100.0 Hz,754,300 Hz,High,Skip,5 kHz,Off,APRS - Silent and SELCALL XXX
15,144.39,144.99,600 kHz,Plus,FM,APRSinpt,Large,None,100.0 Hz,23,300 Hz,High,Skip,5 kHz,Off,APRS - Event Ops into 144.99 digi
16,144.39,143.79,600 kHz,Minus,FM,APRSdigi,Large,None,100.0 Hz,23,300 Hz,High,Skip,5 kHz,Off,APRS - Temporary Event WIDE1-1 digi
18,145.51,145.51, ,Simplex,FM,D-145510,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
19,145.5625,145.5625, ,Simplex,FM,D-C4CALL,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex C4FM Calling Freq. (Yaesu Suggested)
20,145.79,145.79, ,Simplex,FM,D-145790,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
21,433.45,433.45, ,Simplex,FM,D-433450,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
22,441,441, ,Simplex,FM,D-441000,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
23,446.075,446.075, ,Simplex,FM,D-446075,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
24,446.5,446.5, ,Simplex,FM,D-446500,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,Digital Simplex (C4FM)
26,144.2,144.2, ,Simplex,FM,2M-NAT,Large,None,100.0 Hz,23,1500 Hz,High,Off,5 kHz,Off,VHF National Calling Frequency
27,146.4,146.4, ,Simplex,FM,2M-6400,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
28,146.405,146.405, ,Simplex,FM,2M-6405,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
29,146.41,146.41, ,Simplex,FM,2M-6410,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
30,146.415,146.415, ,Simplex,FM,2M-6415,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
31,146.42,146.42, ,Simplex,FM,2M-6420,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
32,146.425,146.425, ,Simplex,FM,2M-6425,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
33,146.43,146.43, ,Simplex,FM,2M-6430,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
34,146.435,146.435, ,Simplex,FM,2M-6435,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
35,146.44,146.44, ,Simplex,FM,2M-6440,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
36,146.445,146.445, ,Simplex,FM,2M-6445,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
37,146.45,146.45, ,Simplex,FM,2M-6450,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
38,146.455,146.455, ,Simplex,FM,2M-6455,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
39,146.46,146.46, ,Simplex,FM,2M-6460,Large,None,100.0 Hz,23,300 Hz,High,Off,5 kHz,Off,VHF Simplex
